City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
"Severo-Kurilsk, RU",50.6789,156.125,31.53,88,99,17.98
"Ulaanbaatar, MN",47.9077,106.8832,15.93,67,0,2.24
"Sur, OM",22.5667,59.5289,88.36,44,0,6.51
"Sorong, ID",-0.8833,131.25,80.92,80,43,1.34
"Miri, MY",4.4148,114.0089,77.29,89,100,5.5
"Tahta, EG",26.7693,31.5021,88.32,10,0,4.76
"Sabang, ID",5.8933,95.3214,83.86,75,100,14.07
"Valdemarpils, LV",57.3707,22.5919,45.25,79,92,4.16
"Eregli, TR",37.5133,34.0467,69.13,24,3,12.17
"Council Bluffs, US",41.2619,-95.8608,47.32,48,75,21.85
"Thinadhoo, MV",0.5333,72.9333,85.48,70,46,7.11
"Lompoc, US",34.6391,-120.4579,61.97,63,0,0.0
"Yulara, AU",-25.2406,130.9889,60.1,74,22,7.61
"Fuyang, CN",32.9,115.8167,62.11,97,67,1.34
"Sitka, US",57.0531,-135.33,44.49,76,20,0.0
"Namie, JP",37.4833,141.0,54.0,93,100,5.12
"Sechura, PE",-5.5569,-80.8222,77.13,62,62,11.59
"Hashtrud, IR",37.4779,47.0508,59.76,52,90,3.83
"Jamestown, US",42.097,-79.2353,76.17,30,75,12.66
"Xining, CN",36.6167,101.7667,51.51,53,77,2.8
"Tabuk, SA",28.3833,36.5833,76.5,27,33,15.79
"Kavaratti, IN",10.5669,72.642,85.28,72,28,5.95
"Sachin, IN",21.0833,72.8833,85.89,58,0,0.0
"Chengde, CN",40.9725,117.9361,62.62,57,52,7.7
"Neuwied, DE",50.4333,7.4667,57.65,69,41,4.54
"Tunduma, TZ",-9.3,32.7667,60.13,98,56,5.1
"Westport, NZ",-41.7526,171.6037,52.0,89,65,3.96
"Skelleftea, SE",64.7507,20.9528,45.0,59,75,13.8
"Kirakira, SB",-10.4544,161.9205,79.84,83,49,3.22
"Changde, CN",29.0464,111.6783,69.75,86,98,2.3
"Lorengau, PG",-2.0226,147.2712,80.29,82,95,7.78
"Ukwa, IN",21.9667,80.4667,83.16,14,0,1.68
"Flin Flon, CA",54.7682,-101.865,23.18,50,2,5.84
"Kiunga, PG",-6.1219,141.2906,74.16,100,100,2.17
"Varzea Da Palma, BR",-17.5981,-44.7308,91.38,30,2,8.55
"Kuznetsk, RU",53.1167,46.6004,53.06,81,54,5.48
"Caucaia, BR",-3.7361,-38.6531,84.04,72,75,17.27
"Hazorasp, UZ",41.3194,61.0742,64.24,27,100,12.84
"Tarakan, ID",3.3,117.6333,76.5,94,40,5.75
"Narsaq, GL",60.9167,-46.05,46.62,77,95,0.25
"Kaeo, NZ",-35.1,173.7833,55.33,96,23,3.18
"Minas De Barroteran, MX",27.6333,-101.2833,78.31,66,88,11.54
"Port Lincoln, AU",-34.7333,135.8667,64.76,82,90,7.87
"Callaway, US",30.153,-85.5699,79.38,74,0,16.11
"Biak, ID",-0.9131,122.8766,76.68,85,89,3.98
"San Pedro, AR",-24.2313,-64.8661,91.49,48,36,3.22
"Filingue, NE",14.3521,3.3168,104.95,6,76,5.68
"Marand, IR",38.4329,45.7749,61.63,51,32,1.97
"Samarkand, UZ",39.6542,66.9597,63.82,68,92,11.5
"Muhororo, UG",0.9381,30.7594,65.79,93,94,3.0
"Benghazi, LY",32.1167,20.0667,68.77,56,87,20.13
"Timizart, DZ",36.8,4.2667,63.63,72,100,6.73
"Yabrud, SY",33.9674,36.6574,63.27,41,94,2.44
"Honningsvag, NO",70.9821,25.9704,31.75,80,100,18.41
"Esso, RU",55.9333,158.7,26.04,97,100,1.63
"Roma, AU",-26.5833,148.7833,61.61,77,100,12.17
"Thomaston, US",32.8882,-84.3266,80.31,58,75,5.75
"Gudari, IN",19.35,83.7833,87.19,54,53,3.58
"Gravdal, NO",68.1214,13.5031,35.49,48,40,16.11
"Dzilam Gonzalez, MX",21.2833,-88.9333,93.04,41,3,7.29
"Areka, ET",7.0667,37.7,60.58,93,100,0.72
"Champerico, GT",14.3,-91.9167,90.14,64,61,8.81
"Luau, AO",-10.7073,22.2247,69.26,81,83,1.81
"Sembe, CG",1.6481,14.5806,80.58,69,97,2.48
"Tromso, NO",69.6496,18.957,31.37,80,75,10.36
"Namatanai, PG",-3.6667,152.4333,78.64,80,100,4.09
"Kloulklubed, PW",7.0419,134.2556,75.7,78,100,17.49
"Evensk, RU",61.95,159.2333,28.58,78,100,18.86
"Ashtian, IR",34.5217,50.0019,51.84,71,100,5.68
"Pisco, PE",-13.7,-76.2167,68.05,83,0,8.05
"Carnarvon, ZA",-30.9683,22.133,54.9,45,0,9.84
"Stornoway, GB",58.2093,-6.3865,48.09,78,75,14.97
"Lethem, GY",3.3803,-59.7968,90.39,51,66,5.37
"Lichinga, MZ",-13.3128,35.2406,68.09,94,75,8.05
"Hwange, ZW",-18.3693,26.5019,76.32,43,50,2.75
"Beira, MZ",-19.8436,34.8389,76.89,84,3,5.61
"Yelizovo, RU",53.1873,158.3805,32.11,74,79,4.0
"Grindavik, IS",63.8424,-22.4338,46.87,76,75,10.36
"Saldanha, ZA",-33.0117,17.9442,58.64,76,0,18.16
"Vung Tau, VN",10.346,107.0843,82.35,80,93,8.5
"Piopio, NZ",-38.4667,175.0167,51.08,99,17,1.05
"Boa Vista, BR",2.8197,-60.6733,91.38,52,75,6.91
"Zakamensk, RU",50.3741,103.2863,13.21,74,0,2.28
"Okhotsk, RU",59.3833,143.3,21.96,83,36,9.42
"Bathsheba, BB",13.2167,-59.5167,75.81,94,75,16.11
"Kuzino, RU",57.0224,59.4412,41.65,93,13,3.29
"Charters Towers, AU",-20.1,146.2667,69.64,92,100,15.59
"Eenhana, NA",-17.4667,16.3333,73.83,33,3,3.18
"Cameta, BR",-2.2444,-49.4958,85.51,67,46,5.3
"Quatre Cocos, MU",-20.2078,57.7625,76.08,69,24,16.24
"Grand-Bourg, GP",15.8835,-61.3148,80.55,77,100,14.09
"Great Falls, US",47.5002,-111.3008,58.08,27,0,13.8
"Kieta, PG",-6.2167,155.6333,78.8,80,82,1.74
"Lithakia, GR",37.7167,20.8333,65.48,72,0,0.0
"Findlay, US",41.0442,-83.6499,56.79,88,100,6.91
"Guaymas, MX",27.9333,-110.9,79.95,34,0,0.0
"Paamiut, GL",61.994,-49.6678,31.39,89,95,15.97
"Invermere, CA",50.5167,-116.0354,48.45,68,100,5.23
"Bulgan, MN",48.8125,103.5347,17.19,68,15,3.56
"Constantine, DZ",36.365,6.6147,71.01,49,0,10.36
"Ozinki, RU",51.1786,49.6769,55.54,72,35,7.76
"Batagay-Alyta, RU",67.8006,130.4114,3.36,97,100,4.23
"Santo Antonio Do Ica, BR",-3.1022,-67.9397,92.93,47,65,2.98
"Son La, VN",21.3167,103.9,73.72,64,17,2.35
"Lexington Park, US",38.2668,-76.4538,66.85,72,75,8.05
"Palmer, US",42.1584,-72.3287,62.08,26,100,3.0
"Ucluelet, CA",48.9329,-125.5528,50.09,92,94,1.01
"Hovd, MN",48.0056,91.6419,34.03,26,100,1.68
"Medea, DZ",36.2642,2.7539,61.23,64,99,7.14
"Kemin, KG",42.7846,75.6892,47.8,83,97,4.03
"Matadi, CD",-5.8167,13.45,81.95,79,95,2.08
"Beringovskiy, RU",63.05,179.3167,26.02,96,100,19.64
"Tibati, CM",6.4667,12.6333,75.11,73,99,7.92
"Maltahohe, NA",-24.8333,16.9833,65.75,28,0,11.03
"Sambava, MG",-14.2667,50.1667,76.75,85,64,9.06
"Weligama, LK",5.9667,80.4167,79.47,86,94,1.92
"Hammond, US",41.5834,-87.5,54.64,57,75,23.02
"Sept-Iles, CA",50.2001,-66.3821,41.05,83,100,7.0
"Yanam, IN",16.7333,82.2167,81.21,87,17,6.38
"Luena, AO",-11.7833,19.9167,69.91,68,84,3.51
"Zatoka, UA",46.0725,30.4654,51.8,84,41,11.65
"Houston, CA",54.3998,-126.6701,40.14,73,99,3.76
"Vuktyl, RU",63.8567,57.3094,32.54,88,81,2.55
"Gidam, IN",18.9833,81.4,88.66,28,93,2.17
"Arroyo, US",41.3909,-78.8803,78.33,65,92,12.5
"Bundaberg, AU",-24.85,152.35,66.22,86,75,8.05
"Laguna De Perlas, NI",12.3429,-83.6712,83.3,69,19,5.35
"Coahuayana, MX",18.7333,-103.6833,87.39,34,5,6.42
"Svay Rieng, KH",11.0879,105.7993,82.85,73,86,10.4
"Kailua, US",21.4022,-157.7394,74.48,75,40,11.5
"Enid, US",36.3956,-97.8784,57.2,37,20,13.8
"Macaubas, BR",-13.0194,-42.6986,89.01,28,0,13.04
"Usinsk, RU",65.9939,57.5281,31.37,92,100,8.3
"Solwezi, ZM",-12.1688,26.3894,64.24,89,75,4.03
"Kertosono, ID",-7.5833,112.1,76.35,92,89,1.59
"Churapcha, RU",62.0025,132.4325,19.4,96,68,3.58
"Xuddur, SO",4.1213,43.8894,79.92,60,98,8.63
"Taicheng, CN",38.731,113.228,60.66,27,0,8.1
"Faro, PT",37.0194,-7.9322,64.22,68,20,12.66
"Rio Bananal, BR",-19.265,-40.3333,83.55,59,78,11.45
"Puerto Narino, CO",-3.7703,-70.3831,86.27,71,66,0.29
"Whitecourt, CA",54.1502,-115.6855,50.56,55,36,10.96
"Camana, PE",-16.6228,-72.7111,71.06,75,100,8.9
"Bambanglipuro, ID",-7.95,110.2833,78.15,87,69,2.42
"Dongsheng, CN",39.8161,109.9776,47.08,26,0,24.16
"Umm Kaddadah, SD",13.6017,26.6876,89.76,10,44,6.06
"Constitucion, MX",23.9912,-104.6749,75.13,22,0,3.0
"Bilibino, RU",68.0546,166.4372,9.73,90,100,4.47
"Ilhabela, BR",-23.7781,-45.3581,77.43,74,16,10.74
"Lagoa, PT",39.05,-27.9833,58.15,72,3,12.39
"Montorio Al Vomano, IT",42.5831,13.6383,59.54,78,29,0.87
"Tulun, RU",54.5611,100.5792,25.5,84,35,4.0
"Staraya Poltavka, RU",50.4772,46.4814,62.37,66,91,9.51
"Navalmoral De La Mata, ES",39.8916,-5.5406,72.95,44,34,1.45
"Belgrade, US",45.776,-111.1769,50.95,40,0,0.0
"El Perico, HN",15.0833,-88.1,76.08,43,14,3.4
"Graaff-Reinet, ZA",-32.2522,24.5308,54.52,61,13,3.8
"Bajil, YE",15.0584,43.2851,90.97,42,16,8.43
"Myitkyina, MM",25.3833,97.4,74.28,50,2,1.86
"Shizukuishi, JP",39.6833,140.9833,54.52,95,100,1.79
"Meulaboh, ID",4.1363,96.1285,78.03,86,100,5.53
"Perth, AU",-31.9333,115.8333,62.64,95,75,11.5
"Kedrovyy, RU",56.1667,91.8167,24.87,95,68,3.42
"Ginir, ET",7.1333,40.7,60.46,89,99,3.4
"Nampula, MZ",-15.1165,39.2666,73.4,90,100,2.8
"Am Timan, TD",11.0297,20.2827,86.72,40,100,2.84
"Aleksandrovskiy Zavod, RU",50.9237,117.9374,31.6,87,100,14.67
"Sao Gabriel Da Cachoeira, BR",-0.1303,-67.0892,90.39,55,35,2.93
"Marysville, US",48.0518,-122.1771,50.16,83,100,5.75
"Nago, JP",26.5881,127.9761,77.45,93,11,12.48
"Tekkali, IN",18.6167,84.2333,81.52,87,26,5.97
"Ibicarai, BR",-14.865,-39.5875,88.7,39,23,9.6
"Caala, AO",-12.8525,15.5606,65.59,65,78,0.13
"Dospat, BG",41.65,24.1667,52.57,64,39,1.45
"Mweka, CD",-4.85,21.5667,72.09,96,98,0.45
"Erdenet, MN",49.0333,104.0833,14.81,65,10,3.69
"Gamboma, CG",-1.8764,15.8644,80.56,70,100,1.83
"Storm Lake, US",42.6411,-95.2097,33.87,69,100,24.16
"Pacifica, US",37.6138,-122.4869,59.88,73,20,6.91
"Kyzyl-Mazhalyk, RU",51.1333,90.6,37.26,31,100,4.43
"Necochea, AR",-38.5473,-58.7368,64.27,39,1,7.45
"Maragogi, BR",-9.0122,-35.2225,81.9,74,88,14.18
"Kenai, US",60.5544,-151.2583,37.76,99,100,0.0
"Kuala Lipis, MY",4.1842,102.0468,74.37,98,78,0.76
"Klyuchi, RU",52.2667,79.1667,41.81,50,99,5.59
"Aklavik, CA",68.2191,-135.0107,32.56,97,100,1.86
"Zaltan, LY",32.947,11.8665,69.06,58,100,21.03
"Valdepenas, ES",38.7621,-3.3848,68.77,30,11,9.66
"Montlucon, FR",46.3333,2.6,52.7,93,65,9.26
"Hay River, CA",60.8156,-115.7999,39.27,84,97,9.6
"Pacific Grove, US",36.6177,-121.9166,56.82,79,0,5.01
"Liaozhong, CN",41.5061,122.7242,60.1,78,26,17.54
"Vore, AL",41.3908,19.655,65.62,45,0,2.3
